code,book,author,pages,completed,remaining,progress
0,Influence,Robert B Cialdini,280,14,266,15
1,The Design of Everyday Things,Don Norman,347,100,247,28
2,The Power of Habit,Charles Duhigg,298,24,266,8
3,So Anyways,John Cleese,400,235,165,58
4,A Short History of Nearly Everything,Bill Bryson,560,340,220,61
5,Drawing on the Right Side of the Brain,Betty Edwards,239,150,350,30
6,Drive,Daniel H. Pink,288,235,53,81
7,Grit,Angela Duckworth,352,0,352,0
8,Travels With Charley,John Steinbeck,275,275,0,100
9,How the Irish Saved Civilization,Thomas Cahill,246,102,144,41
10,Born A Crime,Trevor Noah,304,67,237,22
11,From Beruit to Jerusalem,Thomas Friedman,656,295,361,45
12,Misbehaving,Richard H. Thaler,432,56,376,13
13,The Things They Carried,Tim O'Bryan,259,135,124,45
14,Design Basics Index,Jim Krause,350,183,167,52
15,The Man in the High Castle,Phillip K Dick,288,20,284,5
16,Thinking Fast and Slow,Daniel Kahneman,400,275,125,69
