code,book,author,pages,completed,remaining,progress
0,Influence,Robert B Cialdini,280,14,266,0.15
1,The Design of Everyday Things,Don Norman,347,24,323,0.1
2,The Power of Habit,Charles Duhigg,298,24,266,0.08
3,So Anyways,John Cleese,400,235,165,0.58
4,Thinking Fast and Slow,Daniel Kahneman,400,275,125,0.69
5,Drawing on the Right Side of the Brain,Betty Edwards,239,150,350,0.3
6,A Short History of Nearly Everything,Bill Bryson,560,300,125,0.71
7,Drive,Daniel H. Pink,288,235,53,0.81
8,Grit,Angela Duckworth,352,0,352,0
9,Travels With Charley,John Steinbeck,275,275,0,1
10,How the Irish Saved Civilization,Thomas Cahill,246,102,144,0.41
11,Born A Crime,Trevor Noah,304,67,237,0.22
12,From Beruit to Jerusalem,Thomas Friedman,656,295,361,0.45
13,Misbehaving,Richard H. Thaler,432,56,376,0.13
14,The Things They Carried,Tim O'Bryan,259,117,142,0.45
15,Design Basics Index,Jim Krause,350,183,167,0.52
16,The Man in the High Castle,Phillip K Dick,288,20,284,0.05
